Date/Time,Action,Table Name / Player / Tournament #,Game,Payment method,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money,W Money,Amount_clean,Amount_numeric
2025/09/14 8:31 PM,Tournament Registration,3926846852,"PL Omaha Buy-In: 14.70/1.80 Hot KOmania $16.50 PLO8 [7-Max, Turbo, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(16.50),0.00,0.00,0.00,54.92,0.00,0.00,0.00,-16.50,-16.5
2025/09/14 8:37 PM,Tournament Re-entry,3926846852,,,USD,(16.50),0.00,0.00,0.00,38.42,0.00,0.00,0.00,-16.50,-16.5
2025/09/14 8:44 PM,Tournament Re-entry,3926846852,,,USD,(16.50),0.00,0.00,0.00,21.92,0.00,0.00,0.00,-16.50,-16.5
2025/09/17 11:48 AM,Tournament Registration,3927405646,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(7.50),0.00,0.00,0.00,31.07,0.00,0.00,0.00,-7.50,-7.5
2025/09/18 6:42 PM,Tournament Registration,3928912528,"PL Omaha Buy-In: 9.80/1.20 $11 PLO8 [7-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(11.00),0.00,0.00,0.00,26.02,0.00,0.00,0.00,-11.00,-11.0
2025/09/18 7:59 PM,Tournament Registration,3928912556,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,(2.20),0.00,0.00,0.00,26.27,0.00,0.00,0.00,-2.20,-2.2
2025/09/18 8:14 PM,Tournament Interim Payout,3928912528,,,USD,11.53,0.00,0.00,0.00,37.80,0.00,0.00,0.00,11.53,11.53
2025/09/18 8:48 PM,Tournament Won,3928912528,"PL Omaha Buy-In: 9.80/1.20 $11 PLO8 [7-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,26.42,0.00,0.00,0.00,69.12,0.00,0.00,0.00,26.42,26.42
2025/09/18 8:49 PM,Tournament Registration,3928911864,"PL Omaha Buy-In: 14.70/1.80 Hot KOmania $16.50 PLO8 [7-Max, Turbo, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(16.50),0.00,0.00,0.00,52.62,0.00,0.00,0.00,-16.50,-16.5
2025/09/19 11:01 AM,Tournament Registration,3928912397,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(7.50),0.00,0.00,0.00,45.12,0.00,0.00,0.00,-7.50,-7.5
2025/09/19 11:16 AM,Tournament Re-entry,3928912397,,,USD,(7.50),0.00,0.00,0.00,37.62,0.00,0.00,0.00,-7.50,-7.5
2025/09/19 11:50 AM,Tournament Re-entry,3928912397,,,USD,(7.50),0.00,0.00,0.00,30.12,0.00,0.00,0.00,-7.50,-7.5
2025/09/19 11:55 AM,Tournament Re-entry,3928912397,,,USD,(7.50),0.00,0.00,0.00,22.62,0.00,0.00,0.00,-7.50,-7.5
2025/09/19 1:05 PM,Tournament Interim Payout,3928912397,,,USD,6.02,0.00,0.00,0.00,28.64,0.00,0.00,0.00,6.02,6.02
2025/09/19 1:11 PM,Tournament Registration,3927115790,"PL Badugi Buy-In: 9.80/1.20 WCOOP Side Event: $11 PL Badugi [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(11.00),0.00,0.00,0.00,17.64,0.00,0.00,0.00,-11.00,-11.0
2025/09/19 1:31 PM,Tournament Re-entry,3927115790,,,USD,(11.00),0.00,0.00,0.00,6.64,0.00,0.00,0.00,-11.00,-11.0
2025/09/19 1:34 PM,Tournament Registration,3928912423,"PL Courchevel Buy-In: 3.92/0.48 $4.40 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(4.40),0.00,0.00,0.00,2.24,0.00,0.00,0.00,-4.40,-4.4
2025/09/19 2:19 PM,Tournament Interim Payout,3927115790,,,USD,8.73,0.00,0.00,0.00,10.97,0.00,0.00,0.00,8.73,8.73
2025/09/19 3:05 PM,Tournament Won,3927115790,"PL Badugi Buy-In: 9.80/1.20 WCOOP Side Event: $11 PL Badugi [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,4.48,0.00,0.00,0.00,20.45,0.00,0.00,0.00,4.48,4.48
2025/09/19 6:52 PM,Tournament Registration,3928912529,"PL Omaha Buy-In: 9.80/1.20 $11 PLO8 [7-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(11.00),0.00,0.00,0.00,9.45,0.00,0.00,0.00,-11.00,-11.0
2025/09/19 7:40 PM,Tournament Interim Payout,3928912529,,,USD,9.93,0.00,0.00,0.00,24.28,0.00,0.00,0.00,9.93,9.93
2025/09/19 8:42 PM,Tournament Won,3928912529,"PL Omaha Buy-In: 9.80/1.20 $11 PLO8 [7-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,18.19,0.00,0.00,0.00,54.11,0.00,0.00,0.00,18.19,18.19
